Area Category;Nama Daerah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai ;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Status Kepemilikan;Arah Hadap Rumah;Posisi Rumah;Lebar Jalan Depan Rumah (ROW)
Standard;Babatan;175;115;4;4;2;1.800.000.000;1.750.000.000;1.500.000.000;Terjual;Hak Milik (SHM);Selatan;Standard;1-2 Mobil
Standard;Babatan;162;120;4;3;1;2.000.000.000;2.000.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;Palma Classica;200;280;5;5;2;3.000.000.000;3.250.000.000;;Terjual;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;> 2 Mobil
Standard;Greenlake;105;140;4;3;2;1.500.000.000;1.950.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Premium;northwest lake;72;60;1;2;2;1.200.000.000;1.275.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;northwest park;120;100;3;2;2;1.800.000.000;2.000.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;Pelican Hill;135;145;4;2;2;2.300.000.000;2.450.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;Pelican Hill;135;140;4;3;2;2.300.000.000;2.300.000.000;2.100.000.000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Premium;Puri Widya;450;650;7;6;2;8.000.000.000;8.500.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Cul De Sac/Ujung Gang Buntu;> 2 Mobil
Standard;Darmo;240;180;3;2;1;4.000.000.000;4.200.000.000;;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil
Standard;Darmo;200;280;5;4;2;3.000.000.000;3.500.000.000;;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil
Standard;Dukuh Kupang;140;280;5;3;2;1.200.000.000;1.400.000.000;;Belum;Surat Hijau;Barat;Standard;1-2 Mobil
Sangat Premium;Graha ;345;550;6;5;2;15.000.000.000;16.000.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Sangat Premium;Graha;328;375;5;5;2;10.000.000.000;10.000.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Premium;kupang indah;360;360;6;5;2;6.000.000.000;6.500.000.000;;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil
Standard;pakal;88;70;2;1;1;500.000.000;750.000.000;;Belum;Hak Guna Bangunan (HGB);Barat;Standard;1-2 Mobil
Premium;pakuwon city;170;161;4;4;2;3.500.000.000;4.000.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Premium;pakuwon indah;162;150;4;4;2;4.000.000.000;4.000.000.000;;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil
Premium;pakuwon indah;200;215;4;5;3;4.500.000.000;5.750.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;> 2 Mobil
Standard;villa valensia;160;160;4;3;1;3.000.000.000;2.800.000.000;;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil
Standard;wisma lidah;120;200;4;4;2;1.500.000.000;2.000.000.000;;Belum;Hak Milik (SHM);Timur;Standard;1-2 Mobil
Premium;dian istana;164;140;4;4;2;4.000.000.000;3.500.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;forest;136;160;5;3;2;2.800.000.000;2.900.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;Graha Sampurna;135;200;5;4;2;2.500.000.000;3.000.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
